osmid,name,anlik_risk,geometry
892664d8b27ffff,"H3:892664d8b27ffff (suc=13, lamba_ariza=15)",48.63,"LINESTRING (-87.6728442911612 41.954158862938485, -87.6728442911612 41.954158862938485)"
892664cce5bffff,"H3:892664cce5bffff (suc=15, lamba_ariza=14)",51.84,"LINESTRING (-87.62126193924483 41.74866036809813, -87.62126193924483 41.74866036809813)"
8926645621bffff,"H3:8926645621bffff (suc=0, lamba_ariza=3)",2.64,"LINESTRING (-87.6651065601108 41.68214894433616, -87.6651065601108 41.68214894433616)"
892664cd3cfffff,"H3:892664cd3cfffff (suc=12, lamba_ariza=36)",57.12,"LINESTRING (-87.71352375424583 41.77319044360335, -87.71352375424583 41.77319044360335)"
892664cb4dbffff,"H3:892664cb4dbffff (suc=5, lamba_ariza=17)",31.25,"LINESTRING (-87.79812052740381 41.97655287796476, -87.79812052740381 41.97655287796476)"
892664d89c3ffff,"H3:892664d89c3ffff (suc=65, lamba_ariza=16)",85.42,"LINESTRING (-87.6557534488678 41.97584745564526, -87.6557534488678 41.97584745564526)"
892664c8133ffff,"H3:892664c8133ffff (suc=16, lamba_ariza=20)",58.09,"LINESTRING (-87.73858832923517 41.87327726915237, -87.73858832923517 41.87327726915237)"
892664cf22bffff,"H3:892664cf22bffff (suc=11, lamba_ariza=0)",31.2,"LINESTRING (-87.68125828442437 41.821682234095675, -87.68125828442437 41.821682234095675)"
892664c1b43ffff,"H3:892664c1b43ffff (suc=41, lamba_ariza=33)",89.09,"LINESTRING (-87.62554615434036 41.85999287625658, -87.62554615434036 41.85999287625658)"
892664ccd2fffff,"H3:892664ccd2fffff (suc=15, lamba_ariza=14)",52.31,"LINESTRING (-87.5530975864089 41.72325109763679, -87.5530975864089 41.72325109763679)"
892664c856bffff,"H3:892664c856bffff (suc=26, lamba_ariza=15)",68.8,"LINESTRING (-87.74688164488657 41.891180043905486, -87.74688164488657 41.891180043905486)"
892664cdbabffff,"H3:892664cdbabffff (suc=3, lamba_ariza=10)",17.3,"LINESTRING (-87.667207828933 41.71456869256953, -87.667207828933 41.71456869256953)"
892664ca19bffff,"H3:892664ca19bffff (suc=5, lamba_ariza=16)",29.25,"LINESTRING (-87.6941430555663 41.93184676842848, -87.6941430555663 41.93184676842848)"
892664cc6a3ffff,"H3:892664cc6a3ffff (suc=15, lamba_ariza=6)",43.52,"LINESTRING (-87.62858757529072 41.79671395972418, -87.62858757529072 41.79671395972418)"
89266452153ffff,"H3:89266452153ffff (suc=6, lamba_ariza=12)",28.16,"LINESTRING (-87.76810242722672 41.784172017390276, -87.76810242722672 41.784172017390276)"
892664daa4fffff,"H3:892664daa4fffff (suc=3, lamba_ariza=10)",20.01,"LINESTRING (-87.66738435740639 42.023398115057645, -87.66738435740639 42.023398115057645)"
892664570a7ffff,"H3:892664570a7ffff (suc=1, lamba_ariza=13)",10.84,"LINESTRING (-87.69802898354526 41.68816969811276, -87.69802898354526 41.68816969811276)"
892664c1213ffff,"H3:892664c1213ffff (suc=16, lamba_ariza=20)",58.62,"LINESTRING (-87.66703187013935 41.93040005050082, -87.66703187013935 41.93040005050082)"
892664c139bffff,"H3:892664c139bffff (suc=17, lamba_ariza=33)",66.43,"LINESTRING (-87.64362214257736 41.92019402998102, -87.64362214257736 41.92019402998102)"
892664c88afffff,"H3:892664c88afffff (suc=14, lamba_ariza=15)",50.94,"LINESTRING (-87.72202045279285 41.83748036580116, -87.72202045279285 41.83748036580116)"
892664cf50fffff,"H3:892664cf50fffff (suc=14, lamba_ariza=23)",57.31,"LINESTRING (-87.62398675818766 41.835632658711944, -87.62398675818766 41.835632658711944)"
892664d8e47ffff,"H3:892664d8e47ffff (suc=26, lamba_ariza=22)",74.12,"LINESTRING (-87.70141054757384 41.99918119504262, -87.70141054757384 41.99918119504262)"
892664ccbafffff,"H3:892664ccbafffff (suc=1, lamba_ariza=1)",1.07,"LINESTRING (-87.58450938717549 41.70498216806061, -87.58450938717549 41.70498216806061)"
89266456547ffff,"H3:89266456547ffff (suc=13, lamba_ariza=13)",46.2,"LINESTRING (-87.6116897536328 41.68733172838257, -87.6116897536328 41.68733172838257)"
892664ccaa3ffff,"H3:892664ccaa3ffff (suc=16, lamba_ariza=14)",54.15,"LINESTRING (-87.60410848037617 41.72391028104039, -87.60410848037617 41.72391028104039)"
892664cc4bbffff,"H3:892664cc4bbffff (suc=39, lamba_ariza=25)",85.7,"LINESTRING (-87.60206851054458 41.80336528362858, -87.60206851054458 41.80336528362858)"
892664caeb3ffff,"H3:892664caeb3ffff (suc=42, lamba_ariza=19)",83.1,"LINESTRING (-87.69377525522562 41.90455139410652, -87.69377525522562 41.90455139410652)"
892664c8d8fffff,"H3:892664c8d8fffff (suc=27, lamba_ariza=13)",68.86,"LINESTRING (-87.69725803587643 41.84936077862963, -87.69725803587643 41.84936077862963)"
8926645656bffff,"H3:8926645656bffff (suc=6, lamba_ariza=33)",40.13,"LINESTRING (-87.61414848370268 41.681514482162, -87.61414848370268 41.681514482162)"
892664ca55bffff,"H3:892664ca55bffff (suc=27, lamba_ariza=46)",81.81,"LINESTRING (-87.7036609939493 41.94684677381658, -87.7036609939493 41.94684677381658)"
892664cded3ffff,"H3:892664cded3ffff (suc=22, lamba_ariza=17)",65.81,"LINESTRING (-87.69018596583959 41.76300915098184, -87.69018596583959 41.76300915098184)"
892664c8177ffff,"H3:892664c8177ffff (suc=29, lamba_ariza=18)",74.06,"LINESTRING (-87.74702438975271 41.87202014497932, -87.74702438975271 41.87202014497932)"
892664cd60bffff,"H3:892664cd60bffff (suc=23, lamba_ariza=9)",59.95,"LINESTRING (-87.72408773240689 41.8043890605174, -87.72408773240689 41.8043890605174)"
892664cb3d3ffff,"H3:892664cb3d3ffff (suc=8, lamba_ariza=8)",31.07,"LINESTRING (-87.81103114802534 41.936305787841285, -87.81103114802534 41.936305787841285)"
892664cd3c7ffff,"H3:892664cd3c7ffff (suc=18, lamba_ariza=32)",67.31,"LINESTRING (-87.70931400787536 41.77381661446661, -87.70931400787536 41.77381661446661)"
892664d8137ffff,"H3:892664d8137ffff (suc=20, lamba_ariza=19)",65.03,"LINESTRING (-87.67532071404254 42.014006505750274, -87.67532071404254 42.014006505750274)"
892664cb42bffff,"H3:892664cb42bffff (suc=0, lamba_ariza=3)",2.25,"LINESTRING (-87.78979304037387 41.95863752591996, -87.78979304037387 41.95863752591996)"
892664d994bffff,"H3:892664d994bffff (suc=28, lamba_ariza=10)",66.67,"LINESTRING (-87.74685197571799 41.97599398826688, -87.74685197571799 41.97599398826688)"
892664c12abffff,"H3:892664c12abffff (suc=14, lamba_ariza=6)",41.93,"LINESTRING (-87.6610468352207 41.92581713260922, -87.6610468352207 41.92581713260922)"
